xmas_id_badge_0.1x bom,,,,,,,,,,,,,,,,,,,
created 20181221 by tactical snacks,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Qty,Value,Device,Package,Parts,Vendor,Vender PN,Manufacturer,Manufacturer PN,Description,DESCRIPTION2,DIGI-KEY_PART_NUMBER,DIGI-KEY_PURCHASE_URL,MF,MP,PACKAGE3,PROD_ID,SF_SKU,Cost,Line Cost
10,,LEDCHIP-LED0805,CHIP-LED0805,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10",Aliexpress,,,,LED,,,,,,,,,$0.02 ,$0.20 
10,1k,R-US_R0603,R0603,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10",Digi-Key,,Yageo,,"RESISTOR, American symbol",,,,,,,,,$0.01 ,$0.09 
1,.1uF 16V,CL10B104KO8NNNC,C0603,C1,Digi-Key,1276-1005-1-ND,Samsung,CL10B104KO8NNNC,CAP CER 0.1UF 16V X7R 0603,,,,,,,,,$0.01 ,$0.01 
1,10k,R-US_R0805,R0805,R99,Digi-Key,,Yageo,,"RESISTOR, American symbol",,,,,,,,,$0.01 ,$0.01 
1,ATMEGA328P_VQFNVQFN,ATMEGA328P-MMHR,VQFN-28,U1,Digi-Key,ATMEGA328P-MMHRCT-ND,Microchip Technology,ATMEGA328P-MMHR,IC MCU 8BIT 32KB FLASH 28VQFN,,,,,,,,,$2.24 ,$2.24 
1,BK-916-TR,BK-916-TR,BAT_BK-916-TR,BT1,Digi-Key,BK-916-CT-ND ,Memory Protection Devices,BK-916-TR,"Cr1220, 1225 Battery Retainer w/"," Cr1220, 1225 Battery Retainer w/ ",BK-916-CT-ND,https://www.digikey.com/product-detail/en/mpd-memory-protection-devices/BK-916-TR/BK-916-CT-ND/6200238?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol,MPD _Memory,BK-916-TR,MSOP-12 Memory Protection Devices,,,$0.70 ,$0.70 
1,ISP,FTSH-103-01-F-DV,CON6_2X3_DU_FTSH-L_REV,J1,Digi-Key,SAM9426-ND,Samtec,FTSH-103-01-F-DV,".050"" X .050 TERMINAL STRIP",,,,,,,,,$1.32 ,$1.32 
1,SW1,MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM,TACTILE_SWITCH_SMD_6.0X3.5MM,S1,Ebay,,,,Momentary Switch (Pushbutton) - SPST,,,,,,,SWCH-00815,COM-08229,$0.10 ,$0.10 
1,-,-,-,-,,,,,board,,,,,,,,,$2.50 ,$2.50 
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,unit cost,$7.17 
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
